career_title,source,selection,esco_id,isco_group,isco_group_name,essential_skills,optional_skills,has_skill_data,alt_labels,description
IoT Engineer,market,market_title,,,Embedded and IoT,0,0,no,,
Mulesoft Developer,market,market_title,,,Enterprise Applications,0,0,no,,
SAP Consultant,market,market_title,,,Enterprise Applications,0,0,no,,
Salesforce Developer,market,market_title,,,Enterprise Applications,0,0,no,,
ServiceNow Developer,market,market_title,,,Enterprise Applications,0,0,no,,
Angular Developer,market,market_title,,,Frontend Development,0,0,no,,
Front End Developer,market,market_title,,,Frontend Development,0,0,no,,
Full Stack Developer,market,market_title,,,Frontend Development,0,0,no,,
React Developer,market,market_title,,,Frontend Development,0,0,no,,
UI Developer,market,market_title,,,Frontend Development,0,0,no,,
Vue.js Developer,market,market_title,,,Frontend Development,0,0,no,,
WordPress Developer,market,market_title,,,Frontend Development,0,0,no,,
Full Stack Java Developer,market,market_title,,,Full Stack Development,0,0,no,,
Full Stack Python Developer,market,market_title,,,Full Stack Development,0,0,no,,
MERN Stack Developer,market,market_title,,,Full Stack Development,0,0,no,,
Game Developer,market,market_title,,,Game Development,0,0,no,,
Gameplay Engineer,market,market_title,,,Game Development,0,0,no,,
Unity Developer,market,market_title,,,Game Development,0,0,no,,
Unreal Engine Developer,market,market_title,,,Game Development,0,0,no,,
Power Platform Developer,market,market_title,,,Low-Code and Automation,0,0,no,,
RPA Developer,market,market_title,,,Low-Code and Automation,0,0,no,,
MLOps Engineer,market,market_title,,,Machine Learning Engineering,0,0,no,,
Machine Learning Engineer,market,market_title,,,Machine Learning Engineering,0,0,no,,
Android Developer,market,market_title,,,Mobile Development,0,0,no,,
Flutter Developer,market,market_title,,,Mobile Development,0,0,no,,
React Native Developer,market,market_title,,,Mobile Development,0,0,no,,
iOS Developer,market,market_title,,,Mobile Development,0,0,no,,
Engineering Manager,market,market_title,,,Product and Project Management,0,0,no,,
Product Manager,market,market_title,,,Product and Project Management,0,0,no,,
Scrum Master,market,market_title,,,Product and Project Management,0,0,no,,
Technical Lead,market,market_title,,,Product and Project Management,0,0,no,,
Technical Program Manager,market,market_title,,,Product and Project Management,0,0,no,,
Technical Writer,market,market_title,,,Product and Project Management,0,0,no,,
Automation Test Engineer,market,market_title,,,QA and Testing,0,0,no,,
Manual Test Engineer,market,market_title,,,QA and Testing,0,0,no,,
Performance Test Engineer,market,market_title,,,QA and Testing,0,0,no,,
SDET,market,market_title,,,QA and Testing,0,0,no,,
Robotics Software Engineer,market,market_title,,,Robotics and Automation,0,0,no,,
Site Reliability Engineer,market,market_title,,,SRE and Observability,0,0,no,,
Compiler Engineer,market,market_title,,,Systems and Low-Level,0,0,no,,
Systems Programmer,market,market_title,,,Systems and Low-Level,0,0,no,,
Interaction Designer,market,market_title,,,UI/UX and Product Design,0,0,no,,
Product Designer,market,market_title,,,UI/UX and Product Design,0,0,no,,
UI Designer,market,market_title,,,UI/UX and Product Design,0,0,no,,
UX Designer,market,market_title,,,UI/UX and Product Design,0,0,no,,
