career_title,skill_id,skill_name,relation_type
ICT security administrator,maintain-ict-identity-management,maintain ICT identity management,essential
ICT security administrator,ensure-proper-document-management,ensure proper document management,essential
ICT security administrator,identify-ict-system-weaknesses,identify ICT system weaknesses,essential
ICT security administrator,maintain-database-security,maintain database security,essential
ICT security administrator,implement-cloud-security-and-compliance,implement cloud security and compliance,optional
ICT security administrator,computer-forensics,computer forensics,optional
ICT security administrator,information-security-strategy,information security strategy,optional
ICT security administrator,cloud-security-and-compliance,cloud security and compliance,optional
ICT security administrator,ict-security-standards,ICT security standards,optional
ICT security administrator,ict-security-legislation,ICT security legislation,optional
ICT security administrator,cyber-security,cyber security,optional
ICT security administrator,cloud-monitoring-and-reporting,cloud monitoring and reporting,optional
ICT security administrator,web-application-security-threats,web application security threats,optional
ICT security administrator,information-confidentiality,information confidentiality,optional
ICT security administrator,ict-infrastructure,ICT infrastructure,optional
ICT security administrator,ict-encryption,ICT encryption,optional
ICT security administrator,assess-ict-knowledge,assess ICT knowledge,optional
ICT security administrator,implement-ict-safety-policies,implement ICT safety policies,optional
ICT security administrator,manage-database,manage database,optional
ICT security administrator,respond-to-incidents-in-cloud,respond to incidents in cloud,optional
ICT security administrator,use-scripting-programming,use scripting programming,optional
ICT security administrator,store-digital-data-and-systems,store digital data and systems,optional
ICT security administrator,execute-ict-audits,execute ICT audits,optional
ICT security administrator,remove-computer-virus-or-malware-from-a-computer,remove computer virus or malware from a computer,optional
ICT security administrator,execute-software-tests,execute software tests,optional
ICT security administrator,safeguard-online-privacy-and-identity,safeguard online privacy and identity,optional
ICT security administrator,implement-a-virtual-private-network,implement a virtual private network,optional
ICT security administrator,manage-ict-virtualisation-environments,manage ICT virtualisation environments,optional
ICT security administrator,address-problems-critically,address problems critically,optional
ICT security administrator,implement-anti-virus-software,implement anti-virus software,optional
ICT security administrator,perform-backups,perform backups,optional
ICT security administrator,manage-cloud-data-and-storage,manage cloud data and storage,optional
ICT security administrator,build-business-relationships,build business relationships,optional
ICT security administrator,lead-disaster-recovery-exercises,lead disaster recovery exercises,optional
ICT security administrator,train-employees,train employees,optional
ICT security administrator,implement-a-firewall,implement a firewall,optional
ICT security administrator,manage-keys-for-data-protection,manage keys for data protection,optional
software analyst,business-requirements-techniques,business requirements techniques,essential
software analyst,software-architecture-models,software architecture models,essential
software analyst,software-design-methodologies,software design methodologies,essential
software analyst,legal-requirements-of-ict-products,legal requirements of ICT products,essential
software analyst,ict-system-user-requirements,ICT system user requirements,essential
software analyst,data-models,data models,essential
software analyst,translate-requirements-into-visual-design,translate requirements into visual design,essential
software analyst,create-software-design,create software design,essential
software analyst,analyse-business-processes,analyse business processes,essential
software analyst,develop-documentation-in-accordance-with-legal-requirements,develop documentation in accordance with legal requirements,essential
software analyst,develop-software-prototype,develop software prototype,essential
software analyst,manage-ict-legacy-implication,manage ICT legacy implication,essential
software analyst,design-information-system,design information system,essential
software analyst,interact-with-users-to-gather-requirements,interact with users to gather requirements,essential
software analyst,execute-feasibility-study,execute feasibility study,essential
software analyst,define-technical-requirements,define technical requirements,essential
software analyst,identify-ict-user-needs,identify ICT user needs,essential
software analyst,define-software-architecture,define software architecture,essential
software analyst,create-data-models,create data models,essential
software analyst,haskell,Haskell,optional
software analyst,incremental-development,Incremental development,optional
software analyst,erlang,Erlang,optional
software analyst,sas-language,SAS language,optional
software analyst,agile-project-management,Agile project management,optional
software analyst,ruby-computer-programming,Ruby (computer programming),optional
software analyst,common-lisp,Common Lisp,optional
software analyst,lisp,Lisp,optional
software analyst,visual-studio-net,Visual Studio .NET,optional
software analyst,java-computer-programming,Java (computer programming),optional
software analyst,mdx,MDX,optional
software analyst,computer-programming,computer programming,optional
software analyst,prolog-computer-programming,Prolog (computer programming),optional
software analyst,openedge-advanced-business-language,OpenEdge Advanced Business Language,optional
software analyst,iterative-development,Iterative development,optional
software analyst,javascript,JavaScript,optional
software analyst,xquery,XQuery,optional
software analyst,perl,Perl,optional
software analyst,smalltalk-computer-programming,Smalltalk (computer programming),optional
software analyst,php,PHP,optional
software analyst,assembly-computer-programming,Assembly (computer programming),optional
software analyst,spiral-development,Spiral development,optional
software analyst,c-2,C#,optional
software analyst,r,R,optional
software analyst,groovy,Groovy,optional
software analyst,asp-net,ASP.NET,optional
software analyst,apl,APL,optional
software analyst,object-oriented-modelling,object-oriented modelling,optional
software analyst,sparql,SPARQL,optional
software analyst,outsourcing-model,Outsourcing model,optional
software analyst,hybrid-model,hybrid model,optional
software analyst,waterfall-development,Waterfall development,optional
software analyst,unified-modelling-language,unified modelling language,optional
software analyst,service-oriented-modelling,service-oriented modelling,optional
software analyst,levels-of-software-testing,levels of software testing,optional
software analyst,typescript,TypeScript,optional
software analyst,ict-project-management,ICT project management,optional
software analyst,rapid-application-development,Rapid application development,optional
software analyst,resource-description-framework-query-language,resource description framework query language,optional
software analyst,coffeescript,CoffeeScript,optional
software analyst,objective-c,Objective-C,optional
software analyst,query-languages,query languages,optional
software analyst,ict-problem-management-techniques,ICT problem management techniques,optional
software analyst,ml-computer-programming,ML (computer programming),optional
software analyst,ldap,LDAP,optional
software analyst,open-source-model,Open source model,optional
software analyst,ajax,AJAX,optional
software analyst,c,C++,optional
software analyst,sap-r3,SAP R3,optional
software analyst,swift-computer-programming,Swift (computer programming),optional
software analyst,ict-project-management-methodologies,ICT project management methodologies,optional
software analyst,matlab,MATLAB,optional
software analyst,linq,LINQ,optional
software analyst,python-computer-programming,Python (computer programming),optional
software analyst,scratch-computer-programming,Scratch (computer programming),optional
software analyst,process-based-management,Process-based management,optional
software analyst,lean-project-management,Lean project management,optional
software analyst,agile-development,Agile development,optional
software analyst,vbscript,VBScript,optional
software analyst,cobol,COBOL,optional
software analyst,pascal-computer-programming,Pascal (computer programming),optional
software analyst,abap,ABAP,optional
software analyst,prototyping-development,Prototyping development,optional
software analyst,saas-service-oriented-modelling,SaaS (service-oriented modelling),optional
software analyst,devops,DevOps,optional
software analyst,n1ql,N1QL,optional
software analyst,scala,Scala,optional
software analyst,use-an-application-specific-interface,use an application-specific interface,optional
software analyst,create-prototype-of-user-experience-solutions,create prototype of user experience solutions,optional
software analyst,ensure-compliance-with-legal-requirements,ensure compliance with legal requirements,optional
software analyst,create-project-specifications,create project specifications,optional
software analyst,provide-ict-consulting-advice,provide ICT consulting advice,optional
software analyst,manage-ict-project,manage ICT project,optional
software analyst,ensure-compliance-with-company-regulations,ensure compliance with company regulations,optional
software analyst,analyse-ict-system,analyse ICT system,optional
software analyst,monitor-system-performance,monitor system performance,optional
software analyst,solve-ict-system-problems,solve ICT system problems,optional
software analyst,manage-system-testing,manage system testing,optional
software analyst,identify-ict-system-weaknesses,identify ICT system weaknesses,optional
performance video operator,understand-artistic-concepts,understand artistic concepts,essential
performance video operator,run-a-media-server,run a media server,essential
performance video operator,translate-artistic-concepts-to-technical-designs,translate artistic concepts to technical designs,essential
performance video operator,support-a-designer-in-the-developing-process,support a designer in the developing process,essential
performance video operator,edit-digital-moving-images,edit digital moving images,essential
performance video operator,interpret-artistic-intentions,interpret artistic intentions,essential
performance video operator,use-technical-documentation,use technical documentation,essential
performance video operator,keep-up-with-trends,keep up with trends,essential
performance video operator,lead-a-team,lead a team,optional
performance video operator,provide-documentation,provide documentation,optional
performance video operator,update-budget,update budget,optional
performance video operator,plan-teamwork,plan teamwork,optional
performance video operator,advise-client-on-technical-possibilities,advise client on technical possibilities,optional
performance video operator,manage-personal-professional-development,manage personal professional development,optional
performance video operator,mix-live-images,mix live images,optional
performance video operator,develop-professional-network,develop professional network,optional
performance video operator,adapt-existing-designs-to-changed-circumstances,adapt existing designs to changed circumstances,optional
performance lighting designer,understand-artistic-concepts,understand artistic concepts,essential
performance lighting designer,use-specialised-design-software,use specialised design software,essential
performance lighting designer,research-new-ideas,research new ideas,essential
